Role,Divisi,Perusahaan,Lokasi,Kriteria,Slot
17. Project & Social Media Officer  - BaLiKu,Project & Social Media Officer di Remote Site (Pedesaan),BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
-	Fotografi Skill (kepekaan visual, warna & mengoperasikan kamera/gadget)
-	Kemampuan editing foto & video
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi
- Memiliki kemampuan pembuatan konten2 dan video do media social/pengalaman vloging
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Gesit & Cekatan
- Kreatif & memiliki kemampuan story telling
- Bersedia ditempatkan di remote site (pedesaan) untuk provinsi Bali, NTB (Mataram), NTT (Kupang)",1
23. Project & Social Media Officer - Sulawesi Selatan,Project & Social Media Officer di Remote Site (Pedesaan),BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
-	Fotografi Skill (kepekaan visual, warna & mengoperasikan kamera/gadget)
-	Kemampuan editing foto & video
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi
- Memiliki kemampuan pembuatan konten2 dan video do media social/pengalaman vloging
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Gesit & Cekatan
- Kreatif & memiliki kemampuan story telling
- Bersedia ditempatkan di remote site (pedesaan) untuk provinsi Sulawesi Selatan (Makasar)",1
Fasilitator Pendamping - Sulawesi Selatan,Fasilitator Pendamping Access to Knowledge (A2K) di Remote Site (Pedesaan),BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi & tangguh
- Memiliki kemampuan Analitis
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Bersedia ditempatkan di remote site (pedesaan) untuk provinsi Sulawesi Selatan (Makassar)",9
9. Fasilitator Pendamping Access to Market (A2M) - Kalimantan,Fasilitator Pendamping Access to Market (A2M) di Remote Site (Pedesaan) ,BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi & Tangguh
- Memiliki kemampuan Analitis
- Memiliki pengalaman dan kemampuan berjualan di Media Sosial
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Bersedia ditempatkan di remote site (pedesaan) untuk provinsi Kalimantan Timur  (Samarinda) dan Kalimatan Barat (Pontianak)",15
21. Project & Social Media Officer Coordinator,Project & Social Media Officer Coordinator for Daya,BTPN Syariah,Kota Jakarta Selatan,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
-	Fotografi Skill (kepekaan visual, warna & mengoperasikan kamera/gadget)
-	Kemampuan editing foto & video
 
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi & Tangguh
- Memiliki kemampuan pembuatan konten2 dan video do media social/pengalaman vloging
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Gesit & Cekatan
- Kreatif & memiliki kemampuan story telling",1
18. Project & Social Media Officer - Kalimantan,Project & Social Media Officer di Remote Site (Pedesaan),BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
-	Fotografi Skill (kepekaan visual, warna & mengoperasikan kamera/gadget)
-	Kemampuan editing foto & video
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi
- Memiliki kemampuan pembuatan konten2 dan video do media social/pengalaman vloging
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Gesit & Cekatan
- Kreatif & memiliki kemampuan story telling
- Bersedia ditempatkan di remote site (pedesaan) untuk provinsi Kalimantan Barat (Pontianak) dan Kalimantan Timur (Samarinda)",1
Community Empowerment Officer,Community Empowerment Officer,BTPN Syariah,Kota Jakarta Selatan,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi & tangguh
- Memiliki kemampuan Analitis
- Tertarik dengan aktivitas volunteer dan pemberdayaan",9
Fasilitator Pendamping - Kalimantan,Fasilitator Pendamping Access to Knowledge (A2K) di Remote Site (Pedesaan),BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi & tangguh
- Memiliki kemampuan Analitis
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Bersedia ditempatkan di remote site (pedesaan) untuk provinsi Kalimantan Timur (Samarinda) dan Kalimantan Barat (Pontianak)",10
24. Project & Social Media Officer - Jawa Tengah & Yogyakarta,Project & Social Media Officer di Remote Site (Pedesaan),BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
-	Fotografi Skill (kepekaan visual, warna & mengoperasikan kamera/gadget)
-	Kemampuan editing foto & video
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi
- Memiliki kemampuan pembuatan konten2 dan video do media social/pengalaman vloging
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Gesit & Cekatan
- Kreatif & memiliki kemampuan story telling
- Bersedia ditempatkan di remote site (pedesaan) untuk provinsi Jawa Tengah dan DIY Yogyakarta",2
10. Fasilitator Pendamping Access to Market (A2M) - BaLiKu,Fasilitator Pendamping Access to Market (A2M) di Remote Site (Pedesaan) ,BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi & Tangguh
- Memiliki kemampuan Analitis
- Memiliki pengalaman dan kemampuan berjualan di Media Sosial
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Bersedia ditempatkan di remote site (pedesaan) di provinsi Bali, NTB (Lombok), NTT (Kupang)",11
16. Project & Social Media Officer - Jawa Barat & Banten,Project & Social Media Officer di Remote Site (Pedesaan),BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
-	Fotografi Skill (kepekaan visual, warna & mengoperasikan kamera/gadget)
-	Kemampuan editing foto & video
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi
- Memiliki kemampuan pembuatan konten2 dan video do media social/pengalaman vloging
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Gesit & Cekatan
- Kreatif & memiliki kemampuan story telling
- Bersedia ditempatkan di remote site (pedesaan) untuk provinsi Jawa Barat dan Banten",1
15. Project & Social Media Officer - Jawa Timur,Project & Social Media Officer di Remote Site (Pedesaan),BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
-	Fotografi Skill (kepekaan visual, warna & mengoperasikan kamera/gadget)
-	Kemampuan editing foto & video
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi
- Memiliki kemampuan pembuatan konten2 dan video do media social/pengalaman vloging
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Gesit & Cekatan
- Kreatif & memiliki kemampuan story telling
- Bersedia ditempatkan di remote site (pedesaan) untuk provinsi Jawa Timur",1
19. Project & Social Media Officer - Sumatera Bagian Tengah,Project & Social Media Officer di Remote Site (Pedesaan),BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
-	Fotografi Skill (kepekaan visual, warna & mengoperasikan kamera/gadget)
-	Kemampuan editing foto & video
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi
- Memiliki kemampuan pembuatan konten2 dan video do media social/pengalaman vloging
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Gesit & Cekatan
- Kreatif & memiliki kemampuan story telling
- Bersedia ditempatkan di remote site (pedesaan) untuk provinsi Sumatera Barat (Padang) dan Jambi",2
Program and Project monitoring and reporting,Project&Program Monitoring and Reporting for Customer Engagement & Project Implementation,BTPN Syariah,Kota Jakarta Selatan,"Jurusan: Semua jurusan
Jenjang: S1
Semester: Minimal semester 5
Kriteria hard skills:
- Microsoft Office, terutama MS Excel
Kriteria soft skills:
- Komunikasi yang baik
- Bekerja dalam tim
- Memiliki inisiatif tinggi
- Analitis
- Terstruktur",1
22. Project & Social Media Officer - Sumatera Bagian Selatan,Project & Social Media Officer di Remote Site (Pedesaan),BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
-	Fotografi Skill (kepekaan visual, warna & mengoperasikan kamera/gadget)
-	Kemampuan editing foto & video
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi
- Memiliki kemampuan pembuatan konten2 dan video do media social/pengalaman vloging
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Gesit & Cekatan
- Kreatif & memiliki kemampuan story telling
- Bersedia ditempatkan di remote site (pedesaan) untuk provinsi Sumatera Selatan (Palembang) dan Lampung",2
Fasilitator Pendamping - BaLiKu,Fasilitator Pendamping Access to Knowledge (A2K) di Remote Site (Pedesaan),BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi & tangguh
- Memiliki kemampuan Analitis
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Bersedia ditempatkan di remote site (pedesaan) untuk provinsi Bali, NTB (Mataram), NTT (Kupang)",13
5. Fasilitator Pendamping - Sumatera Bagian Utara,Fasilitator Pendamping Access to Knowledge (A2K) di Remote Site (Pedesaan),BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi & tangguh
- Memiliki kemampuan Analitis
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Bersedia ditempatkan di remote site (pedesaan) untuk provinsi Aceh dan Sumatera Utara (Medan)",52
UX Research,UX Research for Business Development,BTPN Syariah,Kota Jakarta Selatan,"Jurusan 		: Semua jurusan 
Jenjang		: D3/D4/S1
Semester		: Minimal semester 6
Kriteria Hardskill	:
a. Memiliki pengetahuan dasar mengenai riset
b. Berfikir kritis dan analitis

Kriteria Softskill	:
a. Profesional
b. Integritas
c. Saling menghargai
d. Kerjasama
e. Memiliki semangat belajar dan tangguh untuk tumbuh bersama
f. Mampu berbahasa inggris

Kriteria Lainnya	:
Memiliki ketertarikan dalam research, terutama pada UX Reseach 

",2
Project & Social Media Officer,Project & Social Media Officer for Financing Business Planning & Support,BTPN Syariah,Kota Jakarta Selatan,"Jurusan: Semua jurusan (diutamakan jurusan 
  komunikasi/marketing/manajemen)
Jenjang: D3/S1
Semester: Minimal semester 6
Kriteria Hardskill	: 
a. Mengerti dan berpengalaman untuk menghandle social media dan konten media
b. Memiliki kemampuan administrasi

Kriteria Softskill	:
a. Profesional
b. Integritas
c. Saling menghargai
d. Kerjasama
e. Memiliki semangat belajar dan tangguh untuk tumbuh bersama
f. Kreatif
g. Proaktif
",1
1. Fasilitator Pendamping - Jawa Timur,Fasilitator Pendamping Access to Knowledge (A2K) di Remote Site (Pedesaan),BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi & tangguh
- Memiliki kemampuan Analitis
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Bersedia ditempatkan di remote site (pedesaan) untuk provinsi Jawa Timur",60
14. Fasilitator Pendamping Access to Market (A2M) - Jawa Barat & Banten,Fasilitator Pendamping Access to Market (A2M) di Remote Site (Pedesaan) ,BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi & Tangguh
- Memiliki kemampuan Analitis
- Memiliki pengalaman dan kemampuan berjualan di Media Sosial
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Bersedia ditempatkan di remote site (pedesaan) untuk provinsi Jawa Barat dan Banten",19
4. Fasilitator Pendamping - Sumatera Bagian Tengah,Fasilitator Pendamping Access to Knowledge (A2K) di Remote Site (Pedesaan),BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi & tangguh
- Memiliki kemampuan Analitis
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Bersedia ditempatkan di remote site (pedesaan) untuk provinsi Sumatera Barat (Padang) dan Jambi",42
8. Fasilitator Pendamping Access to Market (A2M) - Sumatera Bagian Selatan,Fasilitator Pendamping Access to Market (A2M) di Remote Site (Pedesaan) ,BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi & Tangguh
- Memiliki kemampuan Analitis
- Memiliki pengalaman dan kemampuan berjualan di Media Sosial
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Bersedia ditempatkan di remote site (pedesaan) untuk provinsi Sumatera Selatan dan Lampung",35
2. Fasilitator Pendamping - Jawa Tengah dan Yogya,Fasilitator Pendamping Access to Knowledge (A2K) di Remote Site (Pedesaan),BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi & tangguh
- Memiliki kemampuan Analitis
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Bersedia ditempatkan di remote site (pedesaan) untuk provinsi Jawa Tengah dan DIY Yogyakarta",35
Fasilitator Pendamping - Jawa Barat dan Banten,Fasilitator Pendamping Access to Knowledge (A2K) di Remote Site (Pedesaan),BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi & tangguh
- Memiliki kemampuan Analitis
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Bersedia ditempatkan di remote site (pedesaan) untuk provinsi Jawa Barat dan Banten",28
12. Fasilitator Pendamping Access to Market (A2M) - Sumatera bagian Tengah,Fasilitator Pendamping Access to Market (A2M) di Remote Site (Pedesaan) ,BTPN Syariah,Nasional,"•	Jurusan: Semua jurusan
•	Jenjang:  S1
•	Semester: Minimal semester 5
•	Kriteria hard skills:
-	Microsoft Office
-	Mampu menggunakan E-Learning
•	Kriteria soft skills:
- Mampu berkomunikasi dengan baik
- Bekerja dalam tim & individual
- Memiliki inisiatif tinggi & Tangguh
- Memiliki kemampuan Analitis
- Memiliki pengalaman dan kemampuan berjualan di Media Sosial
- Tertarik dengan aktivitas volunteer dan pemberdayaan
- Bersedia ditempatkan di remote site (pedesaan) untuk provinsi Sumatera Barat dan Jambi",34
IT Developer,Developer IT di BTPN Syariah,BTPN Syariah,Kota Jakarta Selatan,"Jurusan: Teknik Informatika, Sistem Informasi
Jenjang: D3 / D4 / S1
Semester: Minimal semester 6
Kriteria hard skills:
- Memiliki pengetahuan dasar di bidang teknologi informasi (contoh: algoritma, dasar pemrograman, dll)

Kriteria soft skills:
- Berpikir kritis dan analitis
- Komunikasi
- Bekerja dalam tim
- Memiliki inisiatif tinggi
- Analitis & terstruktur
- Memiliki keinginan untuk belajar hal yang baru
- Diutamakan untuk mahasiswa yang berdomisili Jabodetabek
",6
